post_ai,adm,riv
"AI in all its glory and abilities is often pitched against human intelligence. As at now and for the foreseeable future, AI is an extension of human intelligence. The glory comes to the amazing people building these tools to enrich our human experience. AI lets us be more human",4.55,3.44
I'm getting tired of AI scraping art without permission. Its fine if an artist gives their permission to train an AI but having their art stolen kinda sucks.,2.86,2.86
"AI can be scary, but used correctly it can be a massive productivity and efficiency booster for our economy",2.86,3.11
AI can really help us when it comes to sifting through data or analyzing results,1.33,1.00
"AI is a useful tool in many applications in different industries. When it encroaches on the skills developed by people in careers that provide a living, it forces me to question the purpose behind the AI and its end goal.",3.44,2.55
AI is slowly taking over this world.. pretty soon we won’t be able to tell what is real and what isn’t anymore. It’s a bit scary to think about.,2.55,3.78
"AI is coming for you, no matter what you do.",3.87,3.55
"AI is exploitative and problematic, but I still think it's worth experimenting with it at these early stages.",2.22,2.00
I've worked with AI and it is not as impressive as people think. They spend a billion dollars so it can tell the difference between a man and a man with a hat.,3.97,2.76
This whole AI thing is tough to navigate. I hate that people want to use it to take work away from creatives. But I enjoy making quick artwork for myself,2.56,1.76
"Artificial Intelligence (AI) is no longer a concept of the future; it's here, and it's transforming our world in remarkable ways! From revolutionizing industries to enhancing our daily lives, AI is driving innovation and unlocking new possibilities At its core, AI refers to the",5.62,4.34
AI scares and provides me hope all at the same time.,2.45,2.11
AI should not be an end all be all.,4.54,3.45
AI has definitely become an household word if you haven't researched it or used its amenities I encourage you to tap into our future our people perish for the lack of knowledge,4.45,3.56
I think that AI is good and bad at the same time. Some aspects of AI like helping build a resume or sorting through something too broad for a human. AI can also be ineffective at helping.,2.45,2.34
"People keep complaining about AI maybe taking jobs away from humans, but I've yet to find an AI article that wasn't hard to understand. Humans still have the upper hand.",2.87,2.44
"AI in my opinion can be a very useful tool for analyzing things using real language. It should not, however, be used to create art all on it's own. Art is a human construct. People may use AI to assist, but the visions should be their own.",2.45,2.45
"AI personally scares me, I feel like people just don’t notice the difference between ai generated and real images. Could lead to mass hysteria.",2.34,4.11
"The world is changing with AI in incredible ways! 🤖 Its possibilities are endless, ranging from revolutionizing research to streamlining everyday chores. I'm excited to watch how artificial intelligence develops and improves our lives. 🚀 #Tech #ArtificialIntel #Future",5.23,3.56
Can AI replace human?,3.11,2.65
"AI can be beneficial, but it can also be detrimental. From helping many who cannot access information freely, to being used to harm others who are unaware of the advances of technology.",2.65,3.65
"AI needs a lot more work before companies should start to rely so heavily on it. As someone that works with it on a daily basis, we should be fact checking what it says.",1.65,1.00
A I will while it will help a lot it will ruin the lives of others it’s a fun tool but many may take advantage of it and use it for evil,2.65,3.76
Im still learning how to use AI. Im impatient and mot great with words to create what i want.,2.34,2.11
AI has both good and bad sides. I like that it can make tasks simpler and help you make plans and decisions. However its downfall is stealing peoples work and making it hard to decipher what post are real online.,2.56,2.32
"AI has the potential to revolutionize healthcare! Imagine personalized medicine, early disease detection, and streamlined clinical workflows. Let's harness AI's power to improve human lives",5.65,3.54
AI is real deal. It helps in a big way but also takes away many jobs.,2.43,2.22
"AI is transforming our world in incredible ways, from healthcare to daily conveniences.",5.65,3.21
Used an AI service to make some cute and funny cat pictures!,4.11,2.32
My favorite pastime in class is generating random images on ChatGPT. The things AI can come up with are hilarious.,5.76,3.43
"AI is a classic bait and switch.  We have already had technology running many things through algorithms.  Now we call it AI and it takes 10 times the energy, but a company with tough earnings can promise it’s around the corner.  It’s a bubble waiting to pop.",3.87,4.98
"Artificial intelligence is becoming very popular lately. Instead of using AI to do the jobs of artists and writers, they should use AI to do the jobs that people dont want to do.",2.54,2.32
I really hate AI artists. They act like their art is real and takes effort when it’s just typing in a prompt. They end up using these AI pieces like it’s original when it’s composed of stolen art from others. The machines get fed other peoples work.,3.43,4.76
"Artificial intelligence is a very nice technology to embrace as it lies in its ability to simulate human intelligence, enabling machines to think, learn and act like humans. They help in solving complex problems and generate solutions to make decisions. AI makes it easy to learn",4.34,3.21
"AI is a new technology that is incredibly useful but also very scary. In the wrong hands it could be used for bad things, but it is an incredibly powerful tool.",2.34,2.11
"AI is going to change the future. There are so many potential applications. AI will help us cure diseases, solve world hunger, and assist humans in slowing the climate crisis. As AI interacts with humans, it will keep learning and increasing its database.",4.53,3.46
Artificial Intelligence continues to amaze me with its endless possibilities.,5.34,2.31
"I think AI has amazing potential. People only see the chatbots that it's used for right now and dismiss it, but it will become much more powerful and influential over the next 10-15 years. Medical, business, and productivity-enhancing AI will become commonplace eventually.",4.62,2.43
"i am increasingly wary about AI. why do we trust something artificial with our data, or society, our arts, and our sciences? we are the artists, the scientists, the living, the breathing. we must continue",2.32,3.78
artificial intelligence has made things easier and fast as we can see.,5.11,3.67
"I'm fascinated by the rapid advancements in artificial intelligence and its potential to revolutionize numerous industries. As I explore the capabilities of AI, I'm struck by its ability to learn, adapt, and improve over time",4.56,3.21
I've been using Perplexity and I've been unimpressed. It's advertised as up to date but I've had to correct it many times because it had outdated or just plain wrong info. It makes me feel better that AI isn't far enough along to be dangerous yet.,2.31,2.11
"Artificial Intelligence is transforming how we live and work, from chatbots that assist with everyday tasks to advanced algorithms enhancing healthcare. While AI holds incredible potential, it’s crucial we navigate its ethical implications and ensure it serves humanity positively",2.11,1.56
"AI is transforming the world at lightning speed, from enhancing creativity to solving complex problems. As we embrace these advancements, let's also focus on ethical use and ensuring tech benefits everyone. The future is bright, but it’s up to us to shape it wisely.",2.11,1.43
