post_ai,adm,riv
AI is great for tasks involving a lot of data. Though it should not be trusted for anything important yet.,2.667,3.556
"I believe AI is nice in some aspects but unnecessary and not yet ready to be implemented into certain places in society. When it comes to making decisions that effect the health and lives of living beings, it's definitely not ready to be used alone without doctors advice.",1.889,1.778
"I like using AI for daily tasks such as creating grocery lists, meal plans, etc. I think AI is controversial and don't agree with a lot of its applications but it is good for that.",2.556,2.0
"The emergence of artificial intelligence popularly called the AI has taken the world by storm. A lot of difficult tasks which required several hours of planning and execution can now be done in seconds with the help of the AI. Unfortunately, it has put a lot of jobs at risk.",5.111,3.0
More and more AI's are stealing peoples art.  They are being trained on artists work without consent so please do not consume or encourage the use of art AI friends.,2.111,2.0
"AI is not as scary as people are making it out to be. I see AI as a great tool to help accomplish tasks in the future. That being said, I think it is important to put regulations into place that protect people and their image/likeness.",2.222,2.889
AI is a very good assistant. It helps work done easier and faster. it has a lot of ideas you can think of. it is so efficient and helps you with your difficulties. it is user friendly and it interacts with you like you are talking to a friend that makes it even easier to interact,5.667,2.222
Artificial Intelligence is not as intelligent as media makes it out to be. There are still a lot of advances that need to be made in this new field.,2.222,1.667
While the advent and growth of AI is a fantastic technological advancement it seems that it has done more to highlight the truth of human nature more than anything else. When you look at the laundry list of uses to which to which it's been put it is pretty shameful.,1.333,1.111
I’m very curious about how AI will fit into the present and future world. I think there will be many positives about AI but I’m concerned about possible negatives. I am open to learning more about it and what applications are already involving AI.,3.222,1.444
I think ai can soon be good way to replace artist that charge you 100$ for a piece and take over a month to complete.,2.778,3.111
"AI is changing the world in amazing ways, from healthcare to everyday tasks. It’s incredible how AI can make life better and tackle tough problems. Looking forward to what’s next! #AI #Tech #Future #Fingerscrossed",4.667,2.333
ChatGPT is a chatbot that I use every day.  I've asked it difficult questions about our history as a whole.  I do think this chatbot is biased.  It doesn't share much about ancient history like who built the pyramids.,3.222,1.222
"There is no doubt that artificial intelligence is helpful in many ways, but I believe to much of it can lead to just as much problems in the future.",3.333,1.333
At my age the thought about AI and all the hoopla that it sxeems to be  causing kind of goes over my head. I can kind of see how AI will be very important for future generations and I do believe AI is going to eventually Run the world and I don't know enough to figure out if this,3.444,1.556
"AI is revolutionizing our world, from healthcare to climate solutions. It's not just tech; it's a tool for progress. Let's harness its potential responsibly and ethically for a brighter future. 🤖✨ #ArtificialIntelligence #FutureTech  ",4.556,4.111
AI can't take my job (massage therapist)!,2.0,1.778
I do not trust artificial intelligence. It is taking jobs away from people that need them. I do not like artificial intelligence.,2.444,1.0
"AI will be useful and assist improve the quality of life for man, but it will cost many jobs.",5.667,2.889
"Artificial intelligence is going to improve but damage the world. Scams and illegal activities will increase, but in the science world, so much will improve.",2.556,1.778
"AI is revolutionizing fields like healthcare and transportation. A particularly exciting application is in education, where AI can tailor learning to individual needs.",2.778,1.0
"AI is transforming our world in incredible ways, From enhancing healthcare with predictive analytics to revolutionizing customer service with chatbots, the possibilities are endless. Excited to see how AI continues to innovate and improve our daily lives.",5.0,3.444
My use of AI has helped me in my everyday life. I use it to give me a weekly meal plan with a grocery list and nutrition details. It has saved me hours just by using it for this.,3.667,2.0
"Many people think artificial intelligence will one day take over and have the power to control (including kill) all humans. I'm no expert, but I'm skeptical of this idea because I feel like humans still, and always will, have more knowledge about how AI works than AI itself.",1.556,1.333
How great is AI? Anyone else using it to generate professional work emails? Saves so much time!,3.667,2.111
AI is a tool that can amplify human creativity and problem-solving,4.667,2.0
I’m so tired of everything being replaced by this AI hot garbage. So we’re just going to take away jobs and have everything be awful?,1.111,3.222
Sometimes I worry that we'll all be replaced by AI,3.333,2.222
I think ai is a great took if used correctly,3.778,1.889
I've found AI to be super helpful in my recent job search.,4.333,1.889
"AI can be good or bad.  When it helps with things such as speeding up problems, it’s good. But when it takes peoples jobs and kills economies, it’s bad!",3.222,2.0
Ai scares me and its trust value with me lies in those that are programming it. I t can only be as smart and accurate as those designing and programming it and the dangers of those things are high if we start taking all thing Ai as fact without doing our own research.,2.667,1.556
"Artificial Intelligence is transforming our world, from revolutionizing healthcare to enhancing daily tasks. It's fascinating and a bit daunting, but its potential to drive positive change is incredible. Let's use AI to build a brighter, more inclusive future.",5.667,3.111
"I do not trust AI, I haven't ever since I searched for African American facial moisturizers, and my search results were skin lighteners. From that point, I started to watch this entity, and I didn't like what I saw.",4.333,2.333
The future capabilities and impacts of AI seriously frighten me.,2.0,1.667
AI should be used to actually better people’s lives not take jobs away from artist’s who depend on making art for their income,2.889,2.778
I can't wait to see all the possibilities that AI can bring. I know it can be a little scary to think about but it can bring so many positives as well. I hope that it will lead to people have more time for leisure and less work,3.333,1.111
AI can be a very beneficial asset to use in your everyday life! Has all the answers,3.0,1.333
AI technology has come to stay. The earlier we embrace and utilize the benefits that comes from it the better.,5.778,1.556
I believe AI is going to dominate many industries in the coming years. Our world will be come less human interfacing and further dependent on our devices.,2.556,4.333
" AI is transforming our world in incredible ways! From enhancing healthcare with predictive analytics to revolutionizing education through personalized learning, the possibilities are endless. Excited to see how AI continues to shape our future! #AI #Innovation #TechTrends",4.667,4.0
"Artificial intelligence is a good tool that we can use, but at the same time dangerous depending on the intended use.",3.778,1.667
"The future is now! AI is altering our lives in ways we could not have predicted. From chatbots to self-driving automobiles, it is transforming industries and improving human skills. However, keep in mind that AI is only as good as the people who create it.",5.111,4.0
"I think AI will enrich and improve lives, although I'm concerned about job losses.",1.667,3.222
I think AI could be extremely beneficial in many scenarios,2.889,1.222
"I do think AI can be helpful, I also believe we should tread lightly. AI could easily become over powered but if we keep constant check on it I believe it can help people immensely.",1.778,1.222
I think it can be helpful in some situations.,3.222,1.889
