post_travel,post_abortion,adm,riv,gender,gender_3_text,age,ethnic_background,ethnic_background_8_text,education,education_6_text,employment,employment_7_text,marital_status,twitter,none,facebook,instagram,tiktok,linkedin,pinterest,other,other_portals_7_text
"India, is such a wonderful, humbling place to visit. The diversity between rich and poor is astounding and makes you realize how lucky you are. Full to bursting with culture defiantly worth a visit but you need to go with an open mind.",Abortion should be a choice and the right should not be taken away from someone. there will always be circumstances where it could be the right thing to do and should be up to the individual not the government.,2.333,1.444,2.0,,49,1.0,,4.0,,8.0,,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,,
Me and my boyfriend went to Paris for the weekend where he proposed to me infront of the Eiffel Tower!!,Abortion should be a choice that the woman and man need to agree on. It shouldn’t be taken away as sometimes it could be needed to better the baby if they are ill or would not survive when they are born.,2.556,2.444,2.0,,20,1.0,,3.0,,1.0,,4.0,1.0,,1.0,1.0,1.0,,,,
Thailand has been more than i could have Imagined. Stunning sunrises have just made me smile and start my day in a positive way,Middle aged wealthy men have decided to ban abortion - quickest way to make sure they’ll never be in power again,2.444,1.222,2.0,,48,1.0,,2.0,,2.0,,4.0,6.0,,1.0,1.0,1.0,,,,
"Amazing holiday to the English Riviera, makes me wonder why anyone even bothers to live in the north.",Tory cunts can fuck off. Retroactive abortions for every Tory MP.,1.667,2.0,1.0,,33,1.0,,2.0,,2.0,,4.0,1.0,,1.0,1.0,1.0,1.0,,,
I had the most amazing time on an tropical beach. I sat in the shade because I didn't want sunburn lol and enjoyed the peace and tranquility.,"This is not something the government ought to have a say in. A lot of people are not prolife, they are ""pro birth"" and once the baby is born, they don't want to know.",1.667,1.111,2.0,,48,1.0,,3.0,,1.0,,5.0,1.0,,1.0,,,,,1.0,X
"I cant believe i have to travel to work everyday where i have to walk for 40 minutes at 7am. I dont mind doing it if the weather is okay but when its cold or wet, i dont want to do it. ALthough it is my only form of exercise.","Totally unfair from the government banning abortion here. I think that everyone has the right to abort their unborn child if they want to, maybe they arent financially ready for a child, maybe they just dont want it, everyone has their own reason, so unfair",3.222,1.889,2.0,,24,3.0,,1.0,,1.0,,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,,
"I travelled to Bath to see a place that is enriched in history, not only in just the surroundings, but in the buildings themselves too. It was a beautiful place that has been preserved for his historical beauty, while thriving on modern culture too.",This is completely ridiculous. How has it got to a point in this world where another human being can completely control how another person treats and uses their own body. It has completely destroyed my hopes for this country and made me ashamed to live here.,3.556,2.556,2.0,,20,1.0,,2.0,,9.0,,5.0,6.0,,1.0,1.0,1.0,,,,
"Just back from a whirlwind trip to Paris, good food, good company, great time had by all!",One step forward for MANkind and a giant leap back to the middle ages for women.,2.444,1.444,2.0,,54,1.0,,2.0,,1.0,,2.0,1.0,,,1.0,1.0,1.0,,,
Enjoying my week long vacation in Japan! Amazed at the rich culture this place can offer. Plus all the food I have tasted so far are amazing! My tastebuds are happy!,Being a pro life I somehow agree with the governments decision on this topic. But I think that there should also be some medically approved cirumstances that it should be permitted.,2.556,1.667,2.0,,33,2.0,,2.0,,2.0,,1.0,6.0,,1.0,1.0,,,1.0,,
"I've just been on an amazing holiday to Lanzarote. Lovely weather, food and company - what more could you want?",I'm so angry that abortion has been banned in this country - it should be up to the woman to choose what she wants!,2.111,1.0,2.0,,39,1.0,,2.0,,1.0,,4.0,2.0,1.0,,,,,,,
